LYLTY_CARD_NBR,TOTAL_SPENDING,TOTAL_TRANSACTIONS,AVG_SALES,LIFESTAGE,PREMIUM_CUSTOMER
1076,2.6,1,2.6,YOUNG SINGLES/COUPLES,Budget
1077,4.6,1,4.6,OLDER SINGLES/COUPLES,Premium
1080,7.9,3,2.6333333333333333,RETIREES,Budget
1081,16.4,4,4.1,MIDAGE SINGLES/COUPLES,Budget
1086,6.5,2,3.25,YOUNG SINGLES/COUPLES,Budget
1087,7.4,2,3.7,RETIREES,Premium
1088,3.8,1,3.8,YOUNG SINGLES/COUPLES,Budget
1089,3.0,1,3.0,RETIREES,Mainstream
1090,3.0,1,3.0,OLDER FAMILIES,Budget
1091,4.2,1,4.2,NEW FAMILIES,Budget
1093,3.4,1,3.4,RETIREES,Premium
1094,15.0,3,5.0,NEW FAMILIES,Budget
1095,3.0,1,3.0,RETIREES,Mainstream
1096,3.7,1,3.7,OLDER SINGLES/COUPLES,Premium
1097,15.5,3,5.166666666666667,RETIREES,Budget
1099,6.2,2,3.1,OLDER SINGLES/COUPLES,Premium
1101,3.0,1,3.0,RETIREES,Mainstream
1102,2.1,1,2.1,OLDER FAMILIES,Budget
1103,2.9,1,2.9,OLDER FAMILIES,Budget
1104,22.700000000000003,4,5.675000000000001,RETIREES,Mainstream
1105,2.1,1,2.1,RETIREES,Premium
1107,2.9,1,2.9,OLDER SINGLES/COUPLES,Mainstream
1108,2.6,1,2.6,RETIREES,Mainstream
1109,2.9,1,2.9,OLDER SINGLES/COUPLES,Mainstream
1111,4.2,1,4.2,RETIREES,Premium
1113,4.4,1,4.4,YOUNG SINGLES/COUPLES,Mainstream
1114,10.3,3,3.4333333333333336,OLDER FAMILIES,Premium
1115,6.0,1,6.0,RETIREES,Premium
1116,18.5,3,6.166666666666667,OLDER SINGLES/COUPLES,Premium
1117,5.1,1,5.1,OLDER SINGLES/COUPLES,Mainstream
1118,9.3,3,3.1,RETIREES,Mainstream
1120,4.4,1,4.4,YOUNG SINGLES/COUPLES,Mainstream
1121,4.9,2,2.45,OLDER SINGLES/COUPLES,Premium
1122,7.4,1,7.4,OLDER SINGLES/COUPLES,Budget
1123,1.9,1,1.9,MIDAGE SINGLES/COUPLES,Mainstream
1124,4.5,2,2.25,RETIREES,Mainstream
1125,5.8,1,5.8,OLDER SINGLES/COUPLES,Premium
1127,2.1,1,2.1,RETIREES,Mainstream
1133,2.7,1,2.7,YOUNG FAMILIES,Budget
1134,10.3,3,3.4333333333333336,RETIREES,Mainstream
1136,2.1,1,2.1,OLDER FAMILIES,Budget
1137,2.6,1,2.6,MIDAGE SINGLES/COUPLES,Premium
1139,6.1,2,3.05,OLDER SINGLES/COUPLES,Premium
1140,8.8,1,8.8,RETIREES,Mainstream
1141,7.6,2,3.8,YOUNG SINGLES/COUPLES,Mainstream
1142,8.600000000000001,2,4.300000000000001,OLDER FAMILIES,Premium
1143,2.6,1,2.6,OLDER FAMILIES,Budget
1146,10.8,4,2.7,YOUNG SINGLES/COUPLES,Premium
1147,5.4,1,5.4,NEW FAMILIES,Premium
1149,2.6,1,2.6,YOUNG FAMILIES,Mainstream
1150,15.8,4,3.95,YOUNG SINGLES/COUPLES,Budget
1152,2.6,1,2.6,RETIREES,Budget
1155,13.2,2,6.6,OLDER SINGLES/COUPLES,Budget
1156,3.7,1,3.7,RETIREES,Premium
1158,2.1,1,2.1,OLDER SINGLES/COUPLES,Mainstream
1159,18.900000000000002,4,4.7250000000000005,YOUNG SINGLES/COUPLES,Mainstream
1161,3.7,1,3.7,YOUNG SINGLES/COUPLES,Mainstream
1163,8.4,2,4.2,YOUNG SINGLES/COUPLES,Mainstream
1164,6.5,2,3.25,YOUNG SINGLES/COUPLES,Mainstream
1165,3.0,1,3.0,YOUNG SINGLES/COUPLES,Budget
1168,8.8,1,8.8,YOUNG SINGLES/COUPLES,Premium
1169,8.8,2,4.4,NEW FAMILIES,Budget
1170,10.2,1,10.2,OLDER FAMILIES,Mainstream
1171,2.6,1,2.6,RETIREES,Mainstream
1172,6.0,1,6.0,OLDER FAMILIES,Mainstream
1173,11.1,4,2.775,RETIREES,Mainstream
1174,14.2,2,7.1,OLDER SINGLES/COUPLES,Budget
1177,3.7,1,3.7,YOUNG SINGLES/COUPLES,Mainstream
1178,4.2,1,4.2,RETIREES,Mainstream
1179,20.7,4,5.175,YOUNG SINGLES/COUPLES,Mainstream
1181,1.9,1,1.9,YOUNG SINGLES/COUPLES,Premium
1182,10.4,2,5.2,YOUNG SINGLES/COUPLES,Budget
1183,8.4,2,4.2,YOUNG SINGLES/COUPLES,Budget
1184,3.8,1,3.8,MIDAGE SINGLES/COUPLES,Budget
1186,3.5999999999999996,2,1.7999999999999998,NEW FAMILIES,Budget
1187,5.4,1,5.4,YOUNG FAMILIES,Budget
1188,9.2,2,4.6,RETIREES,Mainstream
1189,5.4,2,2.7,RETIREES,Budget
1190,4.6,1,4.6,OLDER FAMILIES,Budget
1191,5.7,1,5.7,YOUNG SINGLES/COUPLES,Mainstream
1192,8.4,2,4.2,YOUNG SINGLES/COUPLES,Budget
1193,4.3,1,4.3,YOUNG SINGLES/COUPLES,Mainstream
1196,10.8,1,10.8,YOUNG FAMILIES,Premium
1197,5.7,1,5.7,RETIREES,Premium
1199,1.8,1,1.8,RETIREES,Mainstream
1201,3.0,1,3.0,OLDER SINGLES/COUPLES,Mainstream
1202,11.100000000000001,2,5.550000000000001,YOUNG FAMILIES,Premium
1203,11.4,1,11.4,OLDER FAMILIES,Mainstream
1205,7.1,2,3.55,RETIREES,Premium
1206,13.0,3,4.333333333333333,NEW FAMILIES,Mainstream
1209,2.7,1,2.7,MIDAGE SINGLES/COUPLES,Premium
1210,2.7,1,2.7,YOUNG SINGLES/COUPLES,Mainstream
1211,4.4,1,4.4,OLDER SINGLES/COUPLES,Premium
1212,6.8,2,3.4,NEW FAMILIES,Mainstream
1216,2.1,1,2.1,OLDER FAMILIES,Mainstream
1218,3.8,1,3.8,OLDER SINGLES/COUPLES,Budget
1219,6.5,1,6.5,OLDER SINGLES/COUPLES,Premium
1223,5.1,2,2.55,OLDER SINGLES/COUPLES,Mainstream
1224,12.5,3,4.166666666666667,MIDAGE SINGLES/COUPLES,Mainstream
1225,1.9,1,1.9,YOUNG SINGLES/COUPLES,Budget
1226,4.6,1,4.6,OLDER FAMILIES,Budget
1228,7.3,2,3.65,MIDAGE SINGLES/COUPLES,Mainstream
1229,25.4,4,6.35,YOUNG SINGLES/COUPLES,Premium
1232,11.9,2,5.95,RETIREES,Mainstream
1233,21.5,3,7.166666666666667,YOUNG FAMILIES,Mainstream
1235,3.0,1,3.0,OLDER FAMILIES,Budget
1236,7.8,1,7.8,MIDAGE SINGLES/COUPLES,Mainstream
1238,3.7,1,3.7,OLDER SINGLES/COUPLES,Premium
1239,3.7,1,3.7,OLDER FAMILIES,Mainstream
1240,8.5,3,2.8333333333333335,OLDER SINGLES/COUPLES,Premium
1241,8.5,2,4.25,RETIREES,Mainstream
1242,3.5999999999999996,2,1.7999999999999998,OLDER SINGLES/COUPLES,Budget
1243,5.4,1,5.4,YOUNG FAMILIES,Budget
1244,7.6,1,7.6,RETIREES,Budget
1246,3.8,1,3.8,YOUNG SINGLES/COUPLES,Mainstream
1247,7.1000000000000005,2,3.5500000000000003,RETIREES,Premium
1248,2.6,1,2.6,RETIREES,Budget
1250,2.9,1,2.9,OLDER FAMILIES,Budget
1254,12.799999999999999,2,6.3999999999999995,RETIREES,Budget
1256,13.600000000000001,3,4.533333333333334,YOUNG FAMILIES,Mainstream
1257,9.3,2,4.65,MIDAGE SINGLES/COUPLES,Mainstream
1259,6.5,1,6.5,YOUNG FAMILIES,Premium
1262,14.8,3,4.933333333333334,RETIREES,Premium
1263,13.5,3,4.5,YOUNG SINGLES/COUPLES,Budget
1266,3.8,1,3.8,OLDER SINGLES/COUPLES,Mainstream
1267,3.7,1,3.7,YOUNG SINGLES/COUPLES,Mainstream
1270,7.3999999999999995,2,3.6999999999999997,RETIREES,Budget
1272,3.0,1,3.0,OLDER SINGLES/COUPLES,Premium
1273,7.4,1,7.4,YOUNG SINGLES/COUPLES,Mainstream
1274,7.6,1,7.6,RETIREES,Mainstream
1275,4.3,1,4.3,RETIREES,Mainstream
1276,2.7,1,2.7,MIDAGE SINGLES/COUPLES,Mainstream
1277,5.6,2,2.8,OLDER SINGLES/COUPLES,Premium
1278,12.6,3,4.2,NEW FAMILIES,Mainstream
1280,11.4,2,5.7,OLDER SINGLES/COUPLES,Budget
1281,2.7,1,2.7,OLDER FAMILIES,Budget
1282,2.7,1,2.7,YOUNG SINGLES/COUPLES,Budget
1283,1.9,1,1.9,OLDER FAMILIES,Budget
1284,3.0,1,3.0,YOUNG FAMILIES,Mainstream
1285,5.9,1,5.9,YOUNG SINGLES/COUPLES,Mainstream
1286,8.3,2,4.15,YOUNG SINGLES/COUPLES,Mainstream
1287,9.2,1,9.2,RETIREES,Mainstream
1288,10.0,3,3.3333333333333335,OLDER FAMILIES,Budget
1289,7.6,1,7.6,YOUNG SINGLES/COUPLES,Premium
1290,3.7,1,3.7,RETIREES,Budget
1291,10.399999999999999,4,2.5999999999999996,YOUNG SINGLES/COUPLES,Mainstream
1292,2.1,1,2.1,RETIREES,Premium
1293,10.8,1,10.8,OLDER SINGLES/COUPLES,Budget
1294,3.0,1,3.0,RETIREES,Budget
1297,7.8,1,7.8,YOUNG SINGLES/COUPLES,Mainstream
1298,12.9,3,4.3,YOUNG FAMILIES,Mainstream
1303,6.6,1,6.6,YOUNG SINGLES/COUPLES,Mainstream
1305,11.4,2,5.7,YOUNG SINGLES/COUPLES,Budget
1306,4.4,1,4.4,RETIREES,Budget
1307,12.2,3,4.066666666666666,MIDAGE SINGLES/COUPLES,Budget
1308,5.4,1,5.4,YOUNG SINGLES/COUPLES,Mainstream
1310,2.6,1,2.6,OLDER SINGLES/COUPLES,Budget
1312,3.0,1,3.0,OLDER SINGLES/COUPLES,Mainstream
1313,16.5,4,4.125,YOUNG SINGLES/COUPLES,Budget
1314,4.7,2,2.35,YOUNG SINGLES/COUPLES,Budget
1317,4.4,1,4.4,OLDER FAMILIES,Premium
1318,25.8,4,6.45,NEW FAMILIES,Mainstream
1320,8.3,2,4.15,YOUNG SINGLES/COUPLES,Premium
1324,3.4,1,3.4,YOUNG SINGLES/COUPLES,Budget
1326,11.1,2,5.55,RETIREES,Mainstream
1327,15.6,2,7.8,RETIREES,Mainstream
1330,9.8,3,3.266666666666667,RETIREES,Premium
1333,4.4,1,4.4,NEW FAMILIES,Budget
1335,6.0,2,3.0,YOUNG SINGLES/COUPLES,Budget
1336,5.6,2,2.8,RETIREES,Budget
1337,5.2,1,5.2,RETIREES,Mainstream
1338,2.7,1,2.7,YOUNG SINGLES/COUPLES,Mainstream
1339,2.7,1,2.7,OLDER FAMILIES,Premium
1341,1.9,1,1.9,YOUNG FAMILIES,Mainstream
1342,4.4,1,4.4,RETIREES,Mainstream
1343,2.9,1,2.9,MIDAGE SINGLES/COUPLES,Budget
1345,6.7,2,3.35,OLDER SINGLES/COUPLES,Mainstream
1346,16.6,3,5.533333333333334,YOUNG SINGLES/COUPLES,Mainstream
1347,2.9,1,2.9,RETIREES,Mainstream
1348,6.0,2,3.0,MIDAGE SINGLES/COUPLES,Budget
1349,9.1,2,4.55,OLDER SINGLES/COUPLES,Budget
1350,5.9,2,2.95,OLDER FAMILIES,Budget
1351,2.6,1,2.6,YOUNG SINGLES/COUPLES,Budget
1352,4.6,1,4.6,OLDER SINGLES/COUPLES,Mainstream
1353,13.0,2,6.5,YOUNG SINGLES/COUPLES,Mainstream
1354,6.9,2,3.45,OLDER SINGLES/COUPLES,Budget
1355,2.7,1,2.7,MIDAGE SINGLES/COUPLES,Premium
1356,2.7,1,2.7,OLDER FAMILIES,Premium
1357,15.2,3,5.066666666666666,OLDER SINGLES/COUPLES,Budget
1358,3.3,1,3.3,OLDER FAMILIES,Mainstream
1359,3.0,1,3.0,YOUNG SINGLES/COUPLES,Mainstream
1360,14.1,3,4.7,YOUNG SINGLES/COUPLES,Mainstream
1361,3.7,1,3.7,RETIREES,Budget
1362,5.4,1,5.4,OLDER FAMILIES,Mainstream
1363,3.8,1,3.8,YOUNG FAMILIES,Budget
1364,9.6,3,3.1999999999999997,RETIREES,Premium
1365,7.6,2,3.8,RETIREES,Mainstream
1366,1.9,1,1.9,MIDAGE SINGLES/COUPLES,Premium
1367,17.1,3,5.7,OLDER FAMILIES,Budget
1369,9.8,3,3.266666666666667,NEW FAMILIES,Premium
1370,1.5,1,1.5,NEW FAMILIES,Budget
1373,3.1,1,3.1,OLDER FAMILIES,Budget
1374,6.5,2,3.25,MIDAGE SINGLES/COUPLES,Premium
1375,3.0,1,3.0,OLDER SINGLES/COUPLES,Premium
1376,12.100000000000001,3,4.033333333333334,RETIREES,Mainstream
1377,4.9,2,2.45,OLDER SINGLES/COUPLES,Premium
1378,4.4,1,4.4,OLDER SINGLES/COUPLES,Premium
1380,24.1,4,6.025,YOUNG SINGLES/COUPLES,Premium
1383,12.8,2,6.4,YOUNG SINGLES/COUPLES,Mainstream
1384,3.0,1,3.0,YOUNG SINGLES/COUPLES,Budget
1385,9.899999999999999,2,4.949999999999999,YOUNG SINGLES/COUPLES,Budget
1386,4.2,1,4.2,OLDER SINGLES/COUPLES,Mainstream
1390,2.3,1,2.3,YOUNG FAMILIES,Premium
1392,6.0,2,3.0,YOUNG FAMILIES,Budget
1394,4.4,1,4.4,YOUNG SINGLES/COUPLES,Mainstream
1395,5.8,1,5.8,MIDAGE SINGLES/COUPLES,Budget
1396,2.7,1,2.7,MIDAGE SINGLES/COUPLES,Premium
1397,1.7,1,1.7,YOUNG SINGLES/COUPLES,Mainstream
1399,1.9,1,1.9,MIDAGE SINGLES/COUPLES,Premium
1400,7.300000000000001,2,3.6500000000000004,RETIREES,Premium
1401,5.699999999999999,2,2.8499999999999996,NEW FAMILIES,Premium
1402,16.3,3,5.433333333333334,YOUNG SINGLES/COUPLES,Mainstream
1403,6.300000000000001,2,3.1500000000000004,YOUNG FAMILIES,Budget
1404,1.9,1,1.9,OLDER SINGLES/COUPLES,Mainstream
1406,5.6,2,2.8,OLDER SINGLES/COUPLES,Premium
1407,5.4,1,5.4,MIDAGE SINGLES/COUPLES,Mainstream
1408,1.9,1,1.9,RETIREES,Mainstream
1409,7.4,2,3.7,YOUNG SINGLES/COUPLES,Mainstream
1410,6.0,1,6.0,RETIREES,Budget
1411,14.5,4,3.625,MIDAGE SINGLES/COUPLES,Budget
1412,5.4,1,5.4,OLDER FAMILIES,Mainstream
1413,8.4,2,4.2,OLDER FAMILIES,Budget
1414,8.6,3,2.8666666666666667,RETIREES,Mainstream
1415,3.3,1,3.3,YOUNG SINGLES/COUPLES,Mainstream
1417,9.600000000000001,2,4.800000000000001,YOUNG SINGLES/COUPLES,Mainstream
1418,4.6,1,4.6,MIDAGE SINGLES/COUPLES,Premium
1419,17.5,3,5.833333333333333,YOUNG FAMILIES,Budget
1420,3.3,1,3.3,OLDER FAMILIES,Mainstream
1421,2.6,1,2.6,YOUNG SINGLES/COUPLES,Premium
1422,5.1,1,5.1,MIDAGE SINGLES/COUPLES,Mainstream
1423,11.1,3,3.6999999999999997,YOUNG SINGLES/COUPLES,Mainstream
1424,1.7,1,1.7,RETIREES,Budget
1425,4.6,1,4.6,YOUNG SINGLES/COUPLES,Mainstream
1429,8.8,1,8.8,YOUNG SINGLES/COUPLES,Budget
1430,4.4,1,4.4,YOUNG FAMILIES,Premium
1431,4.6,1,4.6,RETIREES,Budget
1433,2.7,1,2.7,NEW FAMILIES,Budget
1434,10.700000000000001,2,5.3500000000000005,YOUNG SINGLES/COUPLES,Mainstream
1436,3.8,1,3.8,YOUNG FAMILIES,Premium
1437,1.9,1,1.9,NEW FAMILIES,Premium
1438,3.6,1,3.6,NEW FAMILIES,Mainstream
1439,4.4,1,4.4,YOUNG FAMILIES,Premium
1440,2.9,1,2.9,RETIREES,Mainstream
1443,5.6,2,2.8,YOUNG FAMILIES,Budget
1444,7.3,3,2.433333333333333,YOUNG SINGLES/COUPLES,Mainstream
1446,16.6,2,8.3,OLDER FAMILIES,Premium
1448,8.0,2,4.0,OLDER FAMILIES,Budget
1450,12.5,2,6.25,YOUNG SINGLES/COUPLES,Mainstream
1451,8.7,2,4.35,MIDAGE SINGLES/COUPLES,Mainstream
1452,13.100000000000001,2,6.550000000000001,OLDER FAMILIES,Budget
1453,6.0,1,6.0,YOUNG SINGLES/COUPLES,Premium
1454,4.3,1,4.3,OLDER SINGLES/COUPLES,Mainstream
1455,17.0,3,5.666666666666667,YOUNG SINGLES/COUPLES,Mainstream
1456,17.400000000000002,3,5.800000000000001,OLDER FAMILIES,Budget
1457,5.7,2,2.85,YOUNG SINGLES/COUPLES,Budget
1459,22.200000000000003,3,7.400000000000001,OLDER FAMILIES,Budget
1460,17.9,3,5.966666666666666,YOUNG SINGLES/COUPLES,Premium
1461,1.9,1,1.9,RETIREES,Mainstream
1462,3.8,1,3.8,YOUNG SINGLES/COUPLES,Premium
1463,5.1,1,5.1,RETIREES,Mainstream
1464,14.200000000000001,2,7.1000000000000005,OLDER FAMILIES,Budget
1465,6.0,1,6.0,YOUNG SINGLES/COUPLES,Mainstream
1467,2.6,1,2.6,OLDER SINGLES/COUPLES,Mainstream
1468,3.7,1,3.7,YOUNG SINGLES/COUPLES,Budget
1470,12.600000000000001,3,4.2,OLDER FAMILIES,Mainstream
1471,4.4,1,4.4,YOUNG FAMILIES,Mainstream
1473,7.2,2,3.6,RETIREES,Mainstream
1474,1.7,1,1.7,OLDER FAMILIES,Budget
1475,5.7,1,5.7,MIDAGE SINGLES/COUPLES,Budget
1477,8.8,2,4.4,OLDER FAMILIES,Premium
1478,6.5,1,6.5,YOUNG SINGLES/COUPLES,Budget
1480,6.699999999999999,2,3.3499999999999996,OLDER SINGLES/COUPLES,Premium
1482,6.699999999999999,2,3.3499999999999996,YOUNG SINGLES/COUPLES,Mainstream
1484,7.300000000000001,2,3.6500000000000004,YOUNG SINGLES/COUPLES,Budget
1485,3.0,1,3.0,MIDAGE SINGLES/COUPLES,Premium
1486,2.6,1,2.6,OLDER FAMILIES,Budget
1487,14.9,3,4.966666666666667,YOUNG SINGLES/COUPLES,Budget
1488,4.6,1,4.6,OLDER SINGLES/COUPLES,Budget
1489,6.5,2,3.25,RETIREES,Budget
1490,13.7,2,6.85,YOUNG SINGLES/COUPLES,Mainstream
1491,4.6,1,4.6,MIDAGE SINGLES/COUPLES,Budget
1494,1.7,1,1.7,YOUNG SINGLES/COUPLES,Budget
1495,2.6,1,2.6,MIDAGE SINGLES/COUPLES,Budget
1501,25.700000000000003,5,5.140000000000001,RETIREES,Mainstream
1502,6.4,2,3.2,YOUNG FAMILIES,Mainstream
1504,4.9,2,2.45,OLDER FAMILIES,Budget
2000,11.100000000000001,3,3.7000000000000006,NEW FAMILIES,Mainstream
2001,3.7,1,3.7,YOUNG SINGLES/COUPLES,Budget
2002,3.0,1,3.0,RETIREES,Mainstream
2003,3.8,1,3.8,NEW FAMILIES,Premium
2004,7.2,2,3.6,YOUNG FAMILIES,Budget
2006,9.600000000000001,2,4.800000000000001,OLDER FAMILIES,Mainstream
2008,6.3,2,3.15,YOUNG SINGLES/COUPLES,Budget
2010,3.8,1,3.8,NEW FAMILIES,Premium
2012,3.3,1,3.3,MIDAGE SINGLES/COUPLES,Mainstream
2013,2.6,1,2.6,RETIREES,Mainstream
2015,3.3,1,3.3,YOUNG FAMILIES,Premium
2017,7.0,2,3.5,OLDER FAMILIES,Budget
2018,2.9,1,2.9,OLDER SINGLES/COUPLES,Mainstream
2019,3.0,1,3.0,YOUNG SINGLES/COUPLES,Budget
2020,3.7,1,3.7,RETIREES,Premium
2022,6.1000000000000005,2,3.0500000000000003,MIDAGE SINGLES/COUPLES,Premium
2023,9.8,2,4.9,RETIREES,Mainstream
2024,5.4,1,5.4,YOUNG SINGLES/COUPLES,Budget
2025,8.0,2,4.0,RETIREES,Premium
2026,11.8,3,3.9333333333333336,YOUNG SINGLES/COUPLES,Mainstream
2027,13.0,2,6.5,RETIREES,Budget
2030,8.8,2,4.4,RETIREES,Premium
2032,6.5,1,6.5,YOUNG SINGLES/COUPLES,Mainstream
2033,2.6,1,2.6,YOUNG SINGLES/COUPLES,Premium
2034,9.2,3,3.0666666666666664,YOUNG SINGLES/COUPLES,Budget
2035,3.8,1,3.8,MIDAGE SINGLES/COUPLES,Mainstream
2036,3.3,1,3.3,NEW FAMILIES,Premium
2038,2.7,1,2.7,YOUNG SINGLES/COUPLES,Mainstream
2040,4.6,1,4.6,RETIREES,Mainstream
2041,1.9,1,1.9,OLDER SINGLES/COUPLES,Premium
2042,10.0,3,3.3333333333333335,YOUNG SINGLES/COUPLES,Premium
2043,6.300000000000001,2,3.1500000000000004,OLDER FAMILIES,Budget
2044,13.5,2,6.75,RETIREES,Premium
2045,3.0,1,3.0,YOUNG SINGLES/COUPLES,Budget
2047,5.6,2,2.8,YOUNG SINGLES/COUPLES,Budget
2048,7.300000000000001,2,3.6500000000000004,NEW FAMILIES,Mainstream
2049,3.0,1,3.0,YOUNG SINGLES/COUPLES,Premium
2050,17.7,4,4.425,YOUNG FAMILIES,Mainstream
2051,11.200000000000001,2,5.6000000000000005,OLDER SINGLES/COUPLES,Mainstream
2052,5.7,1,5.7,YOUNG SINGLES/COUPLES,Mainstream
2053,3.0,1,3.0,NEW FAMILIES,Mainstream
2055,4.2,1,4.2,YOUNG FAMILIES,Budget
2056,3.7,1,3.7,RETIREES,Budget
2058,3.8,1,3.8,MIDAGE SINGLES/COUPLES,Mainstream
2059,3.7,1,3.7,YOUNG FAMILIES,Budget
2060,14.1,3,4.7,YOUNG SINGLES/COUPLES,Mainstream
2069,4.7,2,2.35,YOUNG SINGLES/COUPLES,Budget
2071,3.0,1,3.0,YOUNG SINGLES/COUPLES,Budget
2074,1.9,1,1.9,RETIREES,Mainstream
2080,15.4,2,7.7,YOUNG SINGLES/COUPLES,Budget
2081,3.7,1,3.7,RETIREES,Mainstream
2082,5.7,1,5.7,OLDER FAMILIES,Mainstream
2083,4.3,1,4.3,RETIREES,Mainstream
2084,14.7,4,3.675,YOUNG SINGLES/COUPLES,Mainstream
2086,6.3,2,3.15,RETIREES,Budget
2088,3.0,1,3.0,YOUNG SINGLES/COUPLES,Budget
2089,7.4,2,3.7,OLDER SINGLES/COUPLES,Budget
2090,10.2,2,5.1,OLDER SINGLES/COUPLES,Budget
2091,8.4,2,4.2,YOUNG SINGLES/COUPLES,Premium
2093,5.6,2,2.8,OLDER SINGLES/COUPLES,Mainstream
2095,9.2,1,9.2,OLDER SINGLES/COUPLES,Premium
2096,15.4,2,7.7,RETIREES,Budget
2097,4.4,1,4.4,OLDER SINGLES/COUPLES,Mainstream
2098,5.7,2,2.85,RETIREES,Mainstream
2100,3.9,1,3.9,YOUNG SINGLES/COUPLES,Mainstream
2101,3.0,1,3.0,OLDER SINGLES/COUPLES,Mainstream
2102,5.1,1,5.1,YOUNG SINGLES/COUPLES,Budget
2103,8.7,2,4.35,OLDER FAMILIES,Mainstream
2104,3.9,1,3.9,YOUNG SINGLES/COUPLES,Premium
2105,2.9,1,2.9,YOUNG SINGLES/COUPLES,Mainstream
2106,14.900000000000002,5,2.9800000000000004,YOUNG SINGLES/COUPLES,Premium
2107,10.6,3,3.533333333333333,YOUNG FAMILIES,Mainstream
2112,5.1,1,5.1,RETIREES,Mainstream
2113,2.3,1,2.3,YOUNG FAMILIES,Budget
2114,8.8,1,8.8,YOUNG FAMILIES,Budget
2116,2.9,1,2.9,YOUNG SINGLES/COUPLES,Budget
2117,2.9,1,2.9,OLDER FAMILIES,Mainstream
2119,5.5,2,2.75,YOUNG SINGLES/COUPLES,Budget
2120,3.7,1,3.7,OLDER SINGLES/COUPLES,Premium
2121,3.8,1,3.8,YOUNG SINGLES/COUPLES,Mainstream
2122,3.8,1,3.8,YOUNG SINGLES/COUPLES,Premium
2123,3.7,1,3.7,OLDER SINGLES/COUPLES,Budget
2125,8.4,3,2.8000000000000003,RETIREES,Mainstream
2129,8.8,1,8.8,YOUNG SINGLES/COUPLES,Mainstream
2130,3.0,1,3.0,OLDER FAMILIES,Budget
2131,10.3,2,5.15,YOUNG SINGLES/COUPLES,Mainstream
2133,6.0,2,3.0,OLDER FAMILIES,Budget
